model,precision,accuracy,recall,f1,roc_auc,time_elapsed
ExtraTreeClassifier,0.7538480332274615,0.7824440619621342,0.7764217413185707,0.7649683897359613,0.782006456064822,2.0521650314331055
RandomForestClassifier,0.949896694214876,0.9437751004016064,0.9255158530447911,0.9375477950548049,0.9869417441486091,50.92785167694092
LogisticRegression,0.9192136968928345,0.923293172690763,0.9119275289380976,0.9155561169708836,0.9735508579442818,8.383731603622437
GradientBoostingClassifier,0.9273408239700375,0.9367756741250717,0.9345747357825868,0.9309437272841209,0.9841107238709489,223.90497636795044
DecisionTreeClassifier,0.874432104997476,0.8844520940906483,0.8717916456970307,0.8731098790322582,0.8834212284404631,53.93510580062866
XGBClassifier,0.9565987599645704,0.9580608146873207,0.9511826874685455,0.9538830357706138,0.9928926800304063,57.968931674957275
MultinomialNB,0.8864950078822911,0.8815834767641997,0.8490186210367388,0.8673521850899742,0.9395297178974026,1.1427102088928223
soft GBC RFC,0.9440701665183678,0.9448651749856569,0.9344489179667841,0.9392349035725576,0.9395297178974026,272.1408748626709
soft GBC LR,0.9439180537772087,0.9418244406196213,0.9275289380976346,0.935651732453357,0.9395297178974026,229.25137567520142
soft GBC XGBC,0.9519242902208201,0.9549627079747561,0.949169602415702,0.9505449505449505,0.9395297178974026,274.9641065597534
soft RFC LR,0.9422039558181351,0.9390705679862307,0.9229994967287368,0.9325028600483031,0.9395297178974026,58.56665301322937
soft RFC XGBC,0.9598117766755692,0.9588640275387263,0.9495470558631102,0.9546518246790209,0.9395297178974026,102.8315064907074
soft LR XGBC,0.9590058929028952,0.9551348250143431,0.9418721690991444,0.9503618128729211,0.9395297178974026,62.92927074432373
soft GBC RFC LR,0.9471129279509454,0.9456110154905336,0.9328132863613487,0.9399087221095335,0.9395297178974026,281.7430365085602
hard GBC RFC LR,0.9500707759619097,0.9453241537578887,0.9289129340714645,0.9393727336344552,0.9395297178974026,279.84949111938477
soft GBC RFC XGBC,0.9539065467899203,0.95530694205393,0.9477856064418722,0.950836225938782,0.9395297178974026,322.8762514591217
hard GBC RFC XGBC,0.9513156222193975,0.9514056224899599,0.941620533467539,0.946443250079039,0.9395297178974026,316.42268204689026
soft GBC LR XGBC,0.9575850210164311,0.9562248995983936,0.9458983392048314,0.9517058041648205,0.9395297178974026,282.62061834335327
hard GBC LR XGBC,0.9522903184875016,0.9530120481927711,0.9442627075993961,0.9482595236591068,0.9395297178974026,278.25482845306396
soft RFC LR XGBC,0.9598872228630014,0.9557659208261617,0.9423754403623553,0.9510507269379722,0.9395297178974026,114.88845801353455
hard RFC LR XGBC,0.9548494983277592,0.9497418244406196,0.9339456467035733,0.9442818979773566,0.9395297178974026,109.82575249671936
soft GBC RFC LR XGBC,0.9564275703911326,0.9550774526678141,0.9445143432310015,0.9504336266379693,0.9395297178974026,329.85464334487915
hard GBC RFC LR XGBC,0.9624524090849416,0.9481927710843373,0.9223704076497232,0.941985223257308,0.9395297178974026,330.14507126808167
