model,precision,accuracy,recall,f1,roc_auc,time_elapsed
ExtraTreeClassifier,0.792795062350422,0.810728628800918,0.791897332662305,0.7923459432240196,0.8092053632305408,1.89542555809021
RandomForestClassifier,0.9772788747633216,0.948938611589214,0.9091595369904378,0.9419893103897796,0.9905136856663864,47.32042121887207
LogisticRegression,0.9117460317460317,0.9160642570281124,0.9033719174635129,0.9075396574606586,0.970254263979312,7.660879611968994
GradientBoostingClassifier,0.9858768682298094,0.9506024096385542,0.9046300956215401,0.9435076438553901,0.9924047677760326,216.2097795009613
DecisionTreeClassifier,0.9235918161151806,0.9288582903040734,0.9201056869652743,0.9218454556914156,0.9281460783321925,45.33201456069946
XGBClassifier,0.9795071335927367,0.968215720022949,0.9501761449421238,0.9646187252522672,0.9959887045801932,56.202996253967285
MultinomialNB,0.8880146865984789,0.8835341365461847,0.8520382486160041,0.869654552459227,0.9413504537562072,1.2064125537872314
soft GBC RFC,0.9862788144895719,0.9506597819850832,0.9043784599899346,0.9435547387765818,0.9413504537562072,281.955429315567
soft GBC LR,0.9705529646902066,0.9492254733218589,0.9164569703069955,0.9427295670743545,0.9413504537562072,227.06673884391785
soft GBC XGBC,0.9845238095238096,0.9643144004589788,0.9364620030196276,0.9598916688160949,0.9413504537562072,265.7195146083832
soft RFC LR,0.9477098741403919,0.9399311531841652,0.9189733266230499,0.9331204088150751,0.9413504537562072,53.235955476760864
soft RFC XGBC,0.9826862539349422,0.9662650602409638,0.9426270759939608,0.9622399178011817,0.9413504537562072,98.38194823265076
soft LR XGBC,0.9751819126819127,0.9636259323006311,0.9442627075993961,0.9594732804909231,0.9413504537562072,62.631879806518555
soft GBC RFC LR,0.9775100401606426,0.953298909925416,0.9187216909914444,0.9472045660915813,0.9413504537562072,279.06521797180176
hard GBC RFC LR,0.9783900594273366,0.9504302925989673,0.9114242576748868,0.9437206878582595,0.9413504537562072,268.9371135234833
soft GBC RFC XGBC,0.9852354349561053,0.9625932300631096,0.9319325616507298,0.9578430104745894,0.9413504537562072,318.2526731491089
hard GBC RFC XGBC,0.9853573347662548,0.9585771658060814,0.922873678912934,0.9530925155925156,0.9413504537562072,316.32157945632935
soft GBC LR XGBC,0.9812516503828889,0.9622489959839358,0.9350780070457977,0.9576085555985053,0.9413504537562072,273.57819628715515
hard GBC LR XGBC,0.9828753484667463,0.9613884107860011,0.9315551082033215,0.9565273561139461,0.9413504537562072,278.1130681037903
soft RFC LR XGBC,0.9775796512390192,0.9619621342512908,0.9380976346250629,0.9574317817014445,0.9413504537562072,104.77430653572083
hard RFC LR XGBC,0.9757063638764193,0.957429718875502,0.9297936587820835,0.9521968818451231,0.9413504537562072,110.01713132858276
soft GBC RFC LR XGBC,0.9828776214494293,0.9614457831325302,0.9316809260191243,0.9565947551995866,0.9413504537562072,323.0368802547455
hard GBC RFC LR XGBC,0.9887486278814489,0.9527251864601263,0.9066431806743835,0.9459175636650038,0.9413504537562072,330.3544523715973
